City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,sittwe,20.15,92.9,83.84,81,98,9.24,MM,1690425746
147,levuka,50.1834,-105.4011,71.42,33,10,7.58,CA,1690425746
148,la mira,18.035,-102.3266,81.05,81,74,4.99,MX,1690425746
149,kapa'a,22.0752,-159.319,85.98,78,75,16.11,US,1690425746
150,libenge,3.65,18.6333,69.6,97,100,2.91,CD,1690425746
151,atafu village,-8.5421,-172.5159,83.37,75,100,17.96,TK,1690425746
152,bayganin,48.6947,55.8742,78.44,42,1,5.68,KZ,1690425746
153,bilibino,68.0546,166.4372,52.43,69,100,3.6,RU,1690425701
154,stupino,54.9008,38.0708,60.21,93,71,1.95,RU,1690425746
155,rasht,37.2808,49.5832,69.62,100,0,0.0,IR,1690425496
156,auki,-8.7676,160.7034,78.66,91,100,4.41,SB,1690425747
157,naolinco de victoria,19.65,-96.85,60.75,95,100,3.06,MX,1690425747
158,wynyard,-41.0,145.7167,54.54,75,100,9.04,AU,1690425747
159,uturoa,-16.7333,-151.4333,78.4,83,50,8.1,PF,1690425747
160,bubaque,11.2833,-15.8333,81.46,81,100,11.95,GW,1690425747
161,yayva,59.3303,57.2641,60.17,74,80,3.4,RU,1690425747
162,lebu,-37.6167,-73.65,47.55,85,90,0.43,CL,1690425747
163,kruisfontein,-34.0033,24.7314,48.88,88,64,7.07,ZA,1690425748
164,arawa,-6.2132,155.5367,86.54,71,93,4.97,PG,1690425748
165,fale old settlement,-9.3852,-171.2468,83.34,73,39,17.07,TK,1690425748
166,belmonte,-15.8631,-38.8828,72.0,74,40,6.15,BR,1690425748
167,talnakh,69.4865,88.3972,79.21,48,65,6.04,RU,1690425748
168,yigo village,13.5361,144.8886,79.92,94,40,11.5,GU,1690425748
169,arkhangel'sk,64.5401,40.5433,59.68,83,100,3.11,RU,1690425749
170,pekanbaru,0.5333,101.45,84.52,74,20,9.22,ID,1690425749
171,nar'yan-mar,67.6713,53.087,66.33,63,84,2.89,RU,1690425749
172,barra de santo antonio,-9.4047,-35.5072,69.08,83,39,3.15,BR,1690425749
173,nantucket,41.2835,-70.0995,75.99,96,7,15.43,US,1690425749
174,hotan,37.0997,79.9269,86.47,26,55,3.67,CN,1690425749
175,ust-tsilma,65.441,52.1498,61.59,81,92,3.06,RU,1690425725
176,esfarayen,37.0765,57.5101,65.86,66,27,7.23,IR,1690425750
177,nabire,-3.3667,135.4833,87.69,61,78,3.56,ID,1690425750
178,malaga,36.7202,-4.4203,77.74,78,20,1.01,ES,1690425750
179,buka,40.8108,69.1986,93.43,13,3,11.25,UZ,1690425750
180,vicuna,-30.0319,-70.7081,47.93,48,100,1.16,CL,1690425750
181,constantia,44.1833,28.65,68.7,88,99,15.41,RO,1690425750
182,kisesa,-3.0833,34.15,59.99,61,44,8.23,TZ,1690425750
183,minas de marcona,-15.2119,-75.1103,54.03,87,48,10.96,PE,1690425750
184,sinabang,2.4803,96.3801,84.13,71,79,3.15,ID,1690425750
185,cholpon-ata,42.6494,77.0823,75.25,55,91,1.39,KG,1690425751
186,nadi,-17.8,177.4167,71.6,88,100,5.75,FJ,1690425751
187,skovorodino,53.9833,123.9167,83.97,42,99,7.56,RU,1690425751
188,mantua,45.1667,10.7833,67.24,77,8,5.01,IT,1690425751
189,oranjemund,-28.55,16.4333,52.25,72,0,5.5,NA,1690425726
190,bereznik,62.8551,42.7072,58.14,99,100,3.49,RU,1690425751
191,salinas,36.6777,-121.6555,67.48,83,100,17.27,US,1690425719
192,pozanti,37.4278,34.8717,73.0,28,0,5.12,TR,1690425751
193,kencong,-8.2833,113.3667,79.23,63,16,5.1,ID,1690425752
194,xichang,27.8964,102.2634,73.08,80,98,2.04,CN,1690425752
195,singaraja,-8.112,115.0882,82.76,56,11,1.05,ID,1690425752
196,n'zeto,-7.2312,12.8666,68.58,90,4,7.49,AO,1690425752
197,kismayo,-0.3582,42.5454,75.45,82,97,14.25,SO,1690425752
198,wanning,18.8003,110.3967,90.45,57,100,0.6,CN,1690425752
199,nova xavantina,-14.6667,-52.35,72.41,42,13,1.86,BR,1690425752
200,iskateley,67.6803,53.1512,66.09,63,87,2.77,RU,1690425752
201,meadow lakes,61.6247,-149.6011,69.91,73,100,5.75,US,1690425753
202,hermansverk,61.1846,6.8502,57.16,94,100,2.51,NO,1690425753
203,maragogi,-9.0122,-35.2225,73.36,86,55,4.12,BR,1690425753
204,bodo,67.28,14.405,58.77,92,0,3.44,NO,1690425753
205,lorengau,-2.0226,147.2712,83.88,80,62,12.66,PG,1690425753
206,fort bragg,35.139,-79.006,84.78,78,0,5.75,US,1690425730
207,brookings,44.3114,-96.7984,87.8,45,0,6.91,US,1690425753
208,yuzhno-kurilsk,44.0306,145.8556,71.96,77,100,4.34,RU,1690425753
209,roxboro,36.3937,-78.9828,81.07,86,54,6.17,US,1690425753
210,corn island,12.1694,-83.0418,82.36,81,99,17.07,NI,1690425754
211,oumache,34.6929,5.6809,88.09,51,0,11.5,DZ,1690425754
212,saint-francois,46.4154,3.9054,60.24,77,75,5.75,FR,1690425754
213,bac lieu,9.285,105.7244,86.52,66,100,19.71,VN,1690425754
214,karratha,-20.7377,116.8463,72.28,49,96,13.85,AU,1690425754
215,angaur state,6.906,134.13,79.43,84,100,23.02,PW,1690425754
216,santa cruz,-17.8,-63.1667,67.46,56,75,16.11,BO,1690425009
217,prado,-17.3411,-39.2208,71.51,71,78,4.25,BR,1690425743
218,moranbah,-22.0016,148.0466,69.78,56,64,20.67,AU,1690425755
219,ha'il,27.5219,41.6907,78.82,21,0,4.61,SA,1690425755
220,usogorsk,63.4106,48.6872,62.15,68,100,7.18,RU,1690425755
221,chonchi,-42.6128,-73.8092,47.12,99,100,2.84,CL,1690425755
222,machali,-34.1833,-70.6667,51.33,56,100,2.86,CL,1690425755
223,hrubieszow,50.805,23.8925,53.38,95,100,17.67,PL,1690425755
224,nova sintra,14.8667,-24.7167,73.29,85,63,17.18,CV,1690425755
225,howrah,22.5892,88.3103,86.0,84,40,8.05,IN,1690425755
226,mugia,43.1041,-9.2179,65.91,80,97,5.1,ES,1690425756
227,rethymno,35.3647,24.4714,89.22,39,0,2.66,GR,1690425725
228,vila franca do campo,37.7167,-25.4333,68.41,86,2,4.72,PT,1690425643
229,palikir - national government center,6.9248,158.1611,86.85,70,75,9.22,FM,1690425756
230,mao,39.8885,4.2658,70.36,94,0,2.3,ES,1690425756
231,copala,16.65,-98.9833,80.19,85,32,2.66,MX,1690425749
232,thunder bay,48.4001,-89.3168,67.98,94,0,2.3,CA,1690425756
233,qobustan,40.0824,49.412,76.93,72,0,3.24,AZ,1690425756
234,new norfolk,-42.7826,147.0587,56.91,51,100,4.27,AU,1690425756
235,arauca,7.0847,-70.7591,82.4,83,75,5.75,CO,1690425756
236,sangin,32.0728,64.8359,90.45,32,5,2.37,AF,1690425756
237,whistler,50.1164,-122.9695,63.79,66,55,3.22,CA,1690425757
238,acoyapa,11.9703,-85.1711,77.76,84,100,7.27,NI,1690425757
239,taoudenni,22.6783,-3.9836,98.22,25,26,8.48,ML,1690425757
240,guazapa,13.8769,-89.1731,74.08,83,44,2.28,SV,1690425757
241,ar rutbah,33.0381,40.2848,82.2,28,0,10.02,IQ,1690425757
242,konarka,19.9,86.1167,82.8,78,51,21.34,IN,1690425757
243,remire-montjoly,4.9167,-52.2667,77.04,94,100,0.0,GF,1690425757
244,bayeux,-7.125,-34.9322,75.83,88,40,6.91,BR,1690425757
245,torghay,49.6339,63.4981,75.06,56,1,5.68,KZ,1690425757
246,gadzhiyevo,69.2551,33.3362,50.68,94,100,1.16,RU,1690425758
247,kasongo-lunda,-6.4667,16.8167,68.04,71,1,2.01,CD,1690425758
248,bamboo flat,11.7,92.7167,84.29,84,40,11.5,IN,1690425711
249,hithadhoo,-0.6,73.0833,82.96,78,37,16.06,MV,1690425758
250,leskovac,42.9981,21.9461,60.39,87,93,3.47,RS,1690425758
251,wellawaya,6.7318,81.1018,85.5,54,100,8.08,LK,1690425758
252,siwa oasis,29.2041,25.5195,84.27,32,2,5.26,EG,1690425758
253,opuwo,-18.0607,13.84,58.57,42,1,3.94,NA,1690425758
254,tibanbang,6.6315,126.1055,82.6,74,100,6.44,PH,1690425758
255,andradina,-20.8961,-51.3794,73.29,42,32,5.68,BR,1690425759
256,ust-nera,64.5667,143.2,58.98,54,96,7.61,RU,1690425759
257,codrington,-38.2667,141.9667,59.56,63,2,17.96,AU,1690425759
258,namibe,-15.1961,12.1522,59.29,91,68,7.74,AO,1690425759
259,cabo san lucas,22.8909,-109.9124,89.62,75,20,10.36,MX,1690425501
260,selfoss,63.9331,-20.9971,50.04,74,100,6.8,IS,1690425759
261,vilyuysk,63.7553,121.6247,71.56,32,99,6.58,RU,1690425759
262,nagqu,31.5,92.0,43.88,80,100,1.23,CN,1690425759
263,priob'ye,62.5206,65.5964,64.06,82,92,5.23,RU,1690425759
264,potosi,-19.5836,-65.7531,37.65,72,0,5.66,BO,1690425760
265,afaahiti,-17.75,-149.2833,75.07,83,61,5.66,PF,1690425760
266,plaza huincul,-38.926,-69.2086,44.15,10,97,5.19,AR,1690425623
267,taulaga,-11.0553,-171.0883,82.09,69,40,14.09,AS,1690425760
268,caleta de carquin,-11.0925,-77.6267,67.3,80,52,8.93,PE,1690425760
269,sanctuary point,-35.1114,150.629,68.32,34,0,7.47,AU,1690425760
270,livingston,55.9029,-3.5226,56.48,98,75,6.91,GB,1690425760
271,tazovsky,67.4667,78.7,66.27,71,10,1.59,RU,1690425760
272,hilo,19.7297,-155.09,87.28,83,75,9.22,US,1690425760
273,colonia menno,-22.3667,-59.8167,63.48,82,98,7.52,PY,1690425761
274,loen,7.7601,168.2307,82.45,78,100,8.79,MH,1690425761
275,kapuskasing,49.4169,-82.4331,66.29,94,75,2.3,CA,1690425742
276,sabang,5.8933,95.3214,82.83,76,100,18.66,ID,1690425761
277,klyuchi,52.2667,79.1667,71.47,43,100,3.76,RU,1690425761
278,metlili chaamba,32.2667,3.6333,90.54,16,0,0.0,DZ,1690425761
